"TERM : 1234","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2022-2023","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"","ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305","ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"305","ELPA","Dept. Total
564","3.963","80.9","2.5","0.4","",".","",".","",".","0.4","10.8","",".",".","",".","2.0","3.0",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305","ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
