"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","18","4.000","44.4",".",".",".",".","",".","",".","55.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","21","3.875","76.2","14.3","4.8",".",".","",".","",".","4.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","17","3.966","82.4","5.9",".",".",".","",".","",".","11.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","16","4.000","43.8",".",".",".",".","",".","",".","56.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","348","3.860","74.7","6.9","3.2","0.9","1.1","",".","",".","12.4","",".",".","",".","",".","0.9",".",".","."
"Professionals","402","3.867","73.9","7.0","3.0","0.7","1.0","",".","",".","13.7","",".",".","",".","",".","0.7",".",".","."
