"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Topics: Env Perspctve-Phys Sci","401","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","001","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","402","002","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","46","3.977","93.5",".","2.2",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Education for Sustainable Cmty","405","001","19","3.579","57.9","10.5","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","48","3.438","43.8","27.1","18.8","2.1","6.3",".","2.1",".",".",".",".",".",".",".",".","."
"Preserving Nature","413","001","68","3.516","45.6","13.2","27.9","2.9","2.9",".",".",".",".",".",".",".",".","7.4",".","."
"Sustainability Sci, Tech & Pol","417","001","25","3.587","64.0","8.0","8.0","4.0","4.0","4.0",".","8.0",".",".",".",".",".",".",".","."
"Law and Environment","430","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Environmental History","465","001","55","3.565","34.5","52.7","9.1",".",".",".","1.8",".",".",".",".",".","1.8",".",".","."
"Intro-Environmental Health","471","001","108","3.644","49.1","33.3","14.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","31","3.339","61.3","3.2","19.4",".","6.5","6.5","3.2",".",".",".",".",".",".",".",".","."
"","511","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511","002","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Bioclimatology","520","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","24","3.565","37.5","33.3","25.0",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Prescribed Fire Implementation","581","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Studies Capstone","","Course Total","54","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reproducibility & Open Science","613","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Water Res Mgt Pract Pl Smr II","718","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climt Chng, Human & Plan Hlth","739","002","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis & Policy Capst","810","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","900","002","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
