"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Program
1","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BME Design & Fundamentals
201","001","","107","3.907","86.0","11.2","1.9",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Design
301","001","","114","3.781","67.5","23.7","7.0","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Bioinstrumentation
310","001","","100","3.335","33.0","26.0","21.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics
315","001","","38","3.527","39.5","23.7","34.2",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Applied Statistics for BME
325","001","","53","3.764","77.4","9.4","9.4",".","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"389","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","147","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","149","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","150","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","53","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"BME Design Capstone II
402","001","","124","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Interactions w/ Materials
430","001","","109","3.296","15.6","37.6","38.5","6.4",".","0.9",".",".",".",".",".",".","0.9",".",".","."
"Computers in Medicine
463","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"489","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 115 of 476",""
