"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis
110","001","","122","3.316","33.6","27.0","21.3","8.2","8.2","1.6",".",".",".",".",".",".",".",".",".","."
"Anatomy & Physiology of Speech
201","001","","64","3.195","37.5","14.1","26.6","9.4","6.3","4.7","1.6",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing
202","001","","84","3.345","36.9","25.0","19.0","13.1","4.8",".","1.2",".",".",".",".",".",".",".",".","."
"Neural Base Comm
210","001","","197","3.531","47.7","26.4","14.7","8.1","1.0","1.5",".","0.5",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis
318","001","","98","3.837","75.5","18.4","5.1",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults
371","001","","100","3.950","93.0","4.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation
425","001","","111","3.703","62.2","24.3","10.8","0.9",".","1.8",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders
440","001","","104","3.923","88.5","8.7","1.9","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","62","3.920","80.6","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults
704","001","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn
705","001","","37","3.892","91.9","5.4",".",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders
707","001","","37","3.934","94.6","2.7",".",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"School Methods in Lang Dis
709","001","","38","3.986","94.7","2.6",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis
752","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Practicum in Com Disorders","Course Total","","54","3.959","90.7","1.9","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
