"Intermediate Greek","306
001","","3","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Hellenistic Greek","560
001","","10","4.000","90.0",".","",".",".","","",".","",".","",".","10.0",".","",".",".","",".","","",".",".",".","."
"Directed Study","699
042","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"428
GREEK","Dept. Total","","23","3.946","87.0","8.7","",".","",".","",".","",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","7","3.852","71.4","28.6","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","11","3.902","81.8","18.2","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","10","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","23","3.946","87.0","8.7","",".","",".","",".","",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
