"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"416
GEOG","Dept. Total","1995","3.477","45.9","17.1","14.1","4.2","4.1","1.2","1.5","9.4","",".",".","",".","0.5","0.8","0.3","1.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","145","3.170","29.7","24.8","25.5","6.9","7.6","2.8","2.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","461","3.454","50.1","21.0","15.4","4.1","5.2","1.5","2.2",".","",".",".","",".",".",".","0.4",".","."
"Junior","","437","3.509","52.6","19.0","17.2","4.3","4.8","0.7","1.1",".","",".",".","",".",".","0.2",".",".","."
"Senior","","545","3.455","49.0","19.6","16.5","6.2","4.2","1.3","1.3",".","",".",".","",".",".","1.1","0.6",".","0.2"
"Undergraduates","","1588","3.444","48.6","20.3","17.2","5.2","5.0","1.3","1.6",".","",".",".","",".",".","0.4","0.3",".","0.1"
"Special","","191","3.372","11.0","1.0","0.5","1.0","1.0",".","1.6","75.4","",".",".","",".",".",".",".","8.4","."
"Graduate","","216","3.804","57.4","7.9","3.2",".",".","1.4","0.5","19.9","",".",".","",".","4.6","3.7",".","1.4","."
"","Dept. Total","1995","3.477","45.9","17.1","14.1","4.2","4.1","1.2","1.5","9.4","",".",".","",".","0.5","0.8","0.3","1.0","0.1"
