"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
002","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Lit","201
001","92","3.837","79.3","12.0","3.3",".","1.1",".","1.1",".",".",".",".",".","2.2",".","1.1","."
"Intro African Cultural Studies","202
001","22","3.455","40.9","36.4","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Intro Topics African Languages","204
001","22","3.614","50.0","31.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","210
001","21","3.941","71.4","9.5",".",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"","210
002","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","22","3.818","81.8","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","20","3.625","65.0","20.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","210
005","25","3.958","88.0","8.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","210
006","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","140","3.870","80.7","10.7","2.9","1.4",".","0.7",".","3.6",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","29","3.620","58.6","17.2",".","6.9",".",".","3.4",".",".",".",".",".",".",".","13.8","."
"Arabic Lit & Cinema","302
001","16","3.594","56.3","18.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","15","3.571","40.0","33.3","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","322
002","8","3.563","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","23","3.568","47.8","26.1","8.7","13.0",".",".",".","4.3",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324
001","10","3.350","20.0","50.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Arabic","330
001","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Second Semester Swahili","332
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","334
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","334
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Swahili","Course Total","3","***","","","","","","","","","","","","","","","",""
"2nd Sem-Lang-South Africa","336
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","Course Total","6","3.000","66.7",".",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","374
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Yoruba","Course Total","2","***","","","","","","","","","","","","","","","",""
"Theories of Afr Cult Studies","403
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam in Africa & the Diaspora","414
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Swahili","436
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech and Development Africa","444
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv. African Cultural Studies","605
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Afr Cult Studies","803
001","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"CALx Working Group","804
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 176 of 476",""
