"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","112","3.188","12.5","37.5","33.0","10.7","5.4","0.9",".",".",".",".",".",".",".",".",".","."
"","300
002","34","3.191","8.8","41.2","32.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","300
003","37","3.635","45.9","37.8","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","42","3.000","7.1","33.3","28.6","19.0","9.5","2.4",".",".",".",".",".",".",".",".",".","."
"","300
005","39","3.205","20.5","28.2","23.1","28.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","44","3.114","4.5","50.0","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","300
007","44","3.602","38.6","47.7","11.4",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","300
008","44","3.682","50.0","38.6","9.1","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","37","3.122","13.5","29.7","27.0","27.0","2.7",".",".",".",".",".",".",".",".",".",".","."
"","300
010","41","3.073","7.3","34.1","34.1","19.5","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","300
011","38","3.053","5.3","28.9","42.1","18.4","5.3",".",".",".",".",".",".",".",".",".",".","."
"","300
012","39","2.895","7.7","15.4","41.0","25.6","5.1",".","2.6","2.6",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","551","3.229","18.0","35.8","26.7","14.7","4.0","0.5","0.2","0.2",".",".",".",".",".",".",".","."
"","305
001","45","3.711","68.9","8.9","20.0",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","305
002","36","3.611","75.0","2.8","11.1","2.8","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","81","3.667","71.6","6.2","16.0","1.2","3.7",".","1.2",".",".",".",".",".",".",".",".","."
"","310
001","31","3.355","16.1","61.3","16.1","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"","310
002","36","3.375","33.3","36.1","16.7","5.6","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","Course Total","67","3.366","25.4","47.8","16.4","4.5","3.0","1.5","1.5",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","195","3.664","58.5","22.1","15.4","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","365
001","37","3.743","54.1","40.5","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","46","3.769","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
071","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","22","3.773","72.7","18.2","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","59","3.754","72.9","11.9","8.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org Effectvnss","420
001","40","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","40","3.450","25.0","45.0","27.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","422
002","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","51","3.510","33.3","39.2","25.5",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","423
001","40","3.538","32.5","52.5","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","423
002","35","3.614","34.3","54.3","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
100","47","3.670","51.1","31.9","17.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","122","3.611","40.2","45.1","13.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Theory and Practice","604
001","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","29","3.621","37.9","51.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","20","3.800","75.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 60 of 476",""
