"L&S","","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"2nd Semester Portuguese","102","001","","16","2.875","12.5","25.0","18.8","12.5","31.3",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226","001","","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
