"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Discovering Food Science","201","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Sci & Technol of Food","301","001","","33","2.864","12.1","12.1","33.3","21.2","21.2",".",".",".",".",".",".",".",".",".",".","."
"Food Laws and Regulations","321","001","","21","3.833","85.7","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Food Analysis","412","001","","15","2.767","13.3","26.7","13.3","6.7","33.3","6.7",".",".",".",".",".",".",".",".",".","."
"Principles-Food Preservation","432","001","","19","3.132","31.6","15.8","21.1","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"Chem & Technol-Dairy Products","511","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Food Functionality","514","001","","19","3.316","15.8","31.6","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Meat Processing","515","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fermented Foods and Beverages","550","001","","35","3.719","60.0","17.1","11.4",".","2.9",".",".","8.6",".",".",".",".",".",".",".","."
"Food Fermentation Laboratory","551","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","603","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem & Technol-Dairy Products","611","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Special Topics","875","001","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar Advanced","900","001","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","009","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","37","",".",".",".",".",".",".",".","89.2","2.7",".",".","8.1",".",".",".","."
