"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","235","3.238","26.8","31.9","19.6","13.2","4.7","3.8",".",".",".",".",".",".",".",".",".","."
"","300
002","209","3.234","19.1","34.4","30.1","10.5","4.3","1.0","0.5",".",".",".",".",".",".",".",".","."
"","300
003","89","3.062","21.3","24.7","28.1","12.4","9.0","1.1","3.4",".",".",".",".",".",".",".",".","."
"","300
100","17","3.176","35.3","23.5","11.8","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","550","3.206","23.3","31.5","24.7","12.0","5.5","2.4","0.7",".",".",".",".",".",".",".",".","."
"","305
001","47","3.287","40.4","8.5","29.8","10.6","10.6",".",".",".",".",".",".",".",".",".",".","."
"","305
002","49","3.480","42.9","20.4","28.6","6.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","305
003","36","3.222","22.2","27.8","25.0","22.2","2.8",".",".",".",".",".",".",".",".",".",".","."
"","305
004","21","3.286","47.6","9.5","9.5","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","153","3.333","37.9","17.0","25.5","13.1","6.5",".",".",".",".",".",".",".",".",".",".","."
"","310
001","27","3.519","29.6","48.1","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","36","3.181","8.3","36.1","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","38","3.237","13.2","44.7","23.7","13.2","5.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","101","3.292","15.8","42.6","27.7","11.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"","355
001","49","3.694","55.1","40.8","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","355
002","50","3.840","92.0","4.0",".",".",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"","355
003","49","3.908","85.7","10.2","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
004","49","3.847","79.6","12.2","6.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","197","3.822","78.2","16.8","3.0","0.5",".","0.5","1.0",".",".",".",".",".",".",".",".","."
"","365
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","34","3.871","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","28","3.926","82.1","14.3",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","375
003","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Social Media Marketing","Course Total","42","3.854","78.6","14.3","2.4",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","410
001","35","3.286","25.7","20.0","42.9","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","410
002","48","3.375","27.1","35.4","22.9","14.6",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Marketing","Course Total","83","3.337","26.5","28.9","31.3","12.0","1.2",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","28","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","15","3.467","60.0","6.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","43","3.651","62.8","16.3","16.3","2.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","33","3.621","48.5","30.3","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Strategy and Management","424
001","28","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","32","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","44","3.420","38.6","34.1","13.6","4.5","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Marketing Channel Strategy","Course Total","76","3.520","43.4","32.9","15.8","2.6","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"","427
001","39","3.795","64.1","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
002","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","56","3.777","62.5","30.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","430
001","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
