"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Motor Learning&Performance","361","001","","59","3.661","62.7","18.6","8.5","8.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","10","3.550","70.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Pln, Fac, Assess Mvmt & Hlth","370","001","","42","3.786","81.0","4.8","7.1","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Meth & Prac of Games & Fitness","372","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","387","001","","28","3.875","92.9",".",".","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","387","002","","26","3.923","92.3","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","387","003","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Athlete Exer & Medicine","","Course Total","","78","3.917","92.3","3.8",".","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","020","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","024","","6","3.850","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","38","3.955","89.5","7.9",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"Fitness Test & Exer Prescript","427","001","","11","3.273","27.3","18.2","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","43","3.895","79.1","20.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory Health Programs","501","001","","27","3.788","70.4","18.5","3.7",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Phys Act for Diverse Abilities","516","001","","36","3.931","88.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","11","3.944","72.7","9.1",".",".",".",".",".",".",".",".",".",".","9.1","9.1",".","."
"Clinic Exercise Test&Train","523","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","14","3.143","35.7","7.1","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Sem in Strength and Cond","528","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","42","3.833","69.0","28.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","555","001","","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","566","001","","78","3.922","91.0","2.6","3.8",".","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"Stdt Tchg-Health Education","568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
