"TERM : 1234","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2022-2023","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","",""
"LAW","","Section
#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","Dept. Total
3527","1.261","11.8","0.0","12.9","",".","1.5","0.1","0.2","27.0","0.1",".","",".","",".","0.1",".",".","1.6"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","",""
"","Junior","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
