"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","17","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","18","3.750","77.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","17","3.618","64.7","11.8","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","15","3.533","46.7","40.0",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","Course Total","","67","3.694","68.7","17.9","3.0","4.5","6.0",".",".",".",".",".",".",".",".",".",".","."
"","104
001","","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","17","3.500","70.6",".","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","104
003","","16","3.400","43.8","25.0","6.3","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","104
004","","14","3.036","50.0","7.1","14.3",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"","104
005","","20","3.475","60.0","10.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","104
006","","15","3.467","60.0","26.7",".",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","Course Total","","95","3.441","60.0","12.6","9.5","5.3","5.3","4.2","2.1","1.1",".",".",".",".",".",".",".","."
"Second Semester Korean","106
001","","61","3.708","60.7","23.0","11.5","1.6","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"First Semester Elem Japanese","113
002","","18","3.853","72.2","16.7","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","124
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","124
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Filipino","Course Total","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hmong","126
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","128
001","","6","3.000","50.0",".","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","130
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","130
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","Course Total","","6","2.750","16.7","33.3","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Second Semester Vietnamese","132
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hindi","134
001","","9","3.750","66.7","11.1",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","136
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Persian","138
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","140
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Sanskrit","142
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","202
001","","14","3.769","85.7",".",".",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"","202
002","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
003","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","Course Total","","40","3.868","82.5","10.0",".",".",".","2.5",".","5.0",".",".",".",".",".",".",".","."
"","204
001","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","13","3.292","38.5","23.1",".","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"","204
003","","15","3.267","40.0","13.3","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","Course Total","","43","3.405","44.2","18.6","16.3","9.3","9.3",".",".","2.3",".",".",".",".",".",".",".","."
"Fourth Semester Korean","206
001","","27","3.556","70.4","14.8","3.7",".","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"Fourth Semester Filipino","224
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hmong","226
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Indonesian","228
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
