"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Data Science Practicum
628","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"632","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"632","003","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy
642","001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Consulting
678","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"679","003","","6","3.083","33.3","16.7","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"679","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Statistics","Course Total","","10","3.194","50.0","10.0","10.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"682","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.944","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Mathematical Statistics
710","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I
726","001","","19","3.526","42.1","26.3","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability II
734","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Survival Analysis Thry & Mthds
741","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Mthds-Medical Image Anlys
768","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Linr Randm Algos for Data Sci
772","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability
833","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Appl-Regres&Analys Var II
850","001","","26","3.673","50.0","34.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Math Data Science
888","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 353 of 476",""
