"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano
101","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","27","3.796","66.7","25.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano
103","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano
104","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice
143","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","6","3.214","16.7","66.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"144","103","","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","104","","7","3.950","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","105","","8","3.909","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","31","3.818","71.0","25.8",".",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"146","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"146","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"146","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition
148","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","103","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","105","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Piano
201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","20","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 307 of 476",""
