"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"HORT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","9","2.881","33.3","11.1","33.3","11.1",".","11.1",".",".",".",".","",".",".",".",".",".","."
"Junior","","55","3.348","61.8","10.9","9.1","9.1","3.6","1.8","3.6",".",".",".","",".",".",".",".",".","."
"Senior","","181","3.731","81.2","7.2","5.5","1.1","2.8","0.6","0.6",".",".",".","",".",".","1.1",".",".","."
"Undergraduates","","247","3.591","74.9","8.1","7.3","3.2","3.2","1.2","1.2",".",".",".","",".",".","0.8",".",".","."
"Special","","6","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Graduate","","78","3.812","34.6","9.0","2.6",".",".",".",".","26.9","1.3",".","",".","24.4",".",".","1.3","."
"","Dept. Total","331","3.627","64.0","8.2","6.0","2.4","2.4","0.9","0.9","8.2","0.3",".","",".","5.7","0.6",".","0.3","."
