"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","26","3.865","92.3",".",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","115
011","24","3.167","50.0","12.5","4.2","20.8","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"","115
012","27","3.222","48.1","25.9","7.4","3.7","3.7",".","11.1",".",".",".",".",".",".",".",".","."
"","115
013","12","2.625","41.7","8.3","16.7",".","8.3",".","25.0",".",".",".",".",".",".",".",".","."
"","115
014","26","3.442","57.7","23.1",".","11.5",".","3.8","3.8",".",".",".",".",".",".",".",".","."
"","115
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
041","20","3.650","85.0",".","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","115
042","19","3.605","78.9","5.3",".","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","115
043","17","3.412","76.5","5.9",".","5.9",".",".","11.8",".",".",".",".",".",".",".",".","."
"","115
044","12","3.458","50.0","41.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","115
045","16","3.656","87.5",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","115
046","19","3.737","68.4","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","9","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","115
052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
053","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Human Dev: Ed Effectiveness","Course Total","286","3.553","68.9","14.0","3.5","5.6","1.7","0.3","5.2",".",".",".",".",".",".","0.7",".","."
"","125
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","57","3.895","82.5","14.0","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intersectionalities","225
001","216","3.837","81.0","11.1","2.3","1.4","1.4","0.5","0.5","1.9",".",".",".",".",".",".",".","."
"Mental Hlth &Diverse Community","237
001","110","3.922","91.8","4.5","1.8",".",".",".","0.9",".",".",".",".",".","0.9",".",".","."
"Topics: Couns./Couns. Psych","300
020","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","325
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Mindfulness","372
001","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin@ Mental Health","525
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth: Prevent & Interv","531
001","78","3.936","91.0","5.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latinx Advanced Practicum","580
001","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
