"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","3667","3.271","40.6","18.0","18.4","9.3","8.5","2.2","1.1","1.5","",".",".","",".","0.1","0.2","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","63","3.192","27.0","23.8","22.2","7.9","17.5","1.6",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","573","3.132","32.5","16.2","22.2","13.1","11.5","3.0","1.4",".","",".",".","",".",".","0.2",".",".","."
"Junior","","1176","3.172","33.7","18.4","22.1","11.1","10.0","3.1","1.3","0.1","",".",".","",".",".","0.1","0.2",".","."
"Senior","","1136","3.240","37.9","20.8","18.5","9.9","8.8","2.0","1.6","0.2","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","2948","3.191","34.9","19.0","20.7","11.0","10.0","2.6","1.4","0.1","",".",".","",".",".","0.2","0.1",".","."
"Special","","102","3.744","75.5","13.7","4.9","2.0","2.0",".","1.0",".","",".",".","",".",".",".",".","1.0","."
"Graduate","","614","3.681","61.6","14.0","9.6","2.4","2.1","0.8",".","8.6","",".",".","",".","0.7","0.2",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3667","3.271","40.6","18.0","18.4","9.3","8.5","2.2","1.1","1.5","",".",".","",".","0.1","0.2","0.1","0.0","."
