"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","238","3.918","89.5","8.0","1.7",".","0.4",".","0.4",".",".",".",".",".",".",".",".","."
"","103","001","390","3.722","69.2","17.7","7.2","3.1","1.8","0.5","0.5",".",".",".",".",".",".",".",".","."
"","103","002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","410","3.734","70.5","17.1","6.8","2.9","1.7","0.5","0.5",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","111","3.446","59.5","15.3","6.3","9.0","5.4","0.9","3.6",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","15","3.433","66.7","6.7","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","267","001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latinx Feminisms","308","001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","28","3.852","75.0","14.3","7.1",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","350","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350","003","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","","Course Total","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women Modern Europe","392","001","14","3.321","21.4","57.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Queer Art & Visual Culture","412","001","23","3.900","69.6","17.4",".",".",".",".",".",".",".",".",".",".","13.0",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Female Body in the World","423","001","42","3.738","81.0","9.5","2.4",".","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","7","3.357",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gend. & Poli. in Comp Persp.","429","001","19","3.711","73.7","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","13","3.269","15.4","23.1","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Queer of Color Critique","446","001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449","001","37","3.985","86.5","2.7",".",".",".",".",".",".",".",".",".",".","5.4","5.4",".","."
"","449","002","40","3.888","80.0","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","","Course Total","77","3.932","83.1","10.4","1.3",".",".",".",".",".",".",".",".",".","2.6","2.6",".","."
"Psychology of Women and Gender","522","001","17","3.353","41.2","23.5","23.5",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Framing Fatness","523","001","41","3.808","75.6","17.1",".",".",".",".","2.4",".",".",".",".",".","4.9",".",".","."
"History of the (American) Body","532","001","31","3.403","29.0","41.9","19.4","6.5",".","3.2",".",".",".",".",".",".",".",".",".","."
"Topics: Gender & Biology","533","001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Sexuality Reproduction","534","001","36","3.500","50.0","36.1","2.8","2.8","2.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","37","3.824","73.0","21.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender and Health","539","001","35","3.586","37.1","42.9","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intersectionality","547","001","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Gender and Education","560","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Internship-Gender&Women's Std","660","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 358 of 476",""
