"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Introduction to Textile Design","101
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
001","","17","3.382","11.8","58.8","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","","16","3.125","18.8","43.8","12.5","18.8",".",".","6.3",".",".",".",".",".",".",".",".","."
"","140
003","","13","3.154","7.7","46.2","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","140
004","","16","3.000","18.8","31.3","25.0","6.3",".","6.3","6.3",".",".",".",".",".","6.3",".",".","."
"","140
005","","13","3.192","30.8","23.1","38.5",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Vis Thinking - Form and Space","Course Total","","75","3.176","17.3","41.3","24.0","9.3","1.3","1.3","4.0",".",".",".",".",".","1.3",".",".","."
"Vis Thinking- Pixels & Pencils","150
001","","29","3.586","62.1","17.2","3.4","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"Sewn Construction II","154
001","","30","3.317","46.7","13.3","23.3","3.3","10.0",".","3.3",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","","76","3.711","80.3","6.6","3.9","3.9","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","225
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","Course Total","","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Embellishment I","228
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242
001","","15","3.857","80.0",".","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","242
002","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","Course Total","","32","3.806","75.0","6.3","15.6",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Textile Science","251
001","","41","2.939","12.2","24.4","26.8","22.0","12.2",".","2.4",".",".",".",".",".",".",".",".","."
"Independent Study","299
046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Programming","321
001","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322
001","","32","3.710","53.1","31.3","12.5",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Design Thinking","341
001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","404
00A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","404
00B","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","404
00C","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","404
00D","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","404
00E","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FIT Fashion Business Mgmt","Course Total","","24","3.458","37.5","25.0","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","405
00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","405
00B","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","405
00C","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","405
00D","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FIT Fashion Design","Course Total","","8","3.500","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors II","422
001","","36","3.828","61.1","25.0","2.8",".",".",".",".","2.8",".",".",".",".","5.6",".","2.8","."
"Textile Embellishment II","428
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Design: Weaving II","429
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Textiles","430
001","","32","3.621","46.9","28.1","9.4","3.1","3.1",".",".","3.1",".",".",".",".",".","3.1","3.1","."
"Color Theory and Technology","451
001","","29","3.362","24.1","41.4","17.2","17.2",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
