"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Intro Applied Econometrics","400","001","","95","3.037","25.3","18.9","17.9","20.0","15.8","1.1","1.1",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410","001","","70","3.044","24.3","18.6","22.9","15.7","11.4","2.9","1.4","1.4",".",".",".",".","1.4",".",".","."
"","420","001","","8","3.500","62.5",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","420","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","003","","18","2.944","11.1","27.8",".","61.1",".",".",".",".",".",".",".",".",".",".",".","."
"","420","004","","12","3.292","25.0","58.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","","42","3.131","23.8","31.0","7.1","33.3","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","","39","3.410","35.9","17.9","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resources-Econ Growth","448","001","","31","3.097","25.8","22.6","22.6","16.1","9.7",".","3.2",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450","002","","50","2.932","14.0","28.0","24.0","24.0","2.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","","89","3.257","18.0","37.1","30.3","9.0","3.4",".","1.1",".",".",".",".",".",".",".","1.1","."
"Indust Struct&Comptitv Stratgy","458","001","","42","3.762","64.3","23.8","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","","40","2.913","22.5","15.0","20.0","22.5","15.0","2.5","2.5",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","12","2.625","16.7","16.7","33.3","8.3","8.3",".","16.7",".",".",".",".",".",".",".",".","."
"International Trade","464","001","","57","3.073","22.8","22.8","24.6","10.5","12.3","1.8","1.8",".",".",".",".",".",".","3.5",".","."
"Econ Probs-Developing Areas","474","001","","47","3.867","76.6","12.8","6.4",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Economics of Growth","475","001","","33","3.045","18.2","21.2","30.3","18.2","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","","18","3.556","61.1","22.2",".","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","","92","3.147","22.8","32.6","12.0","22.8","7.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524","001","","7","3.071","42.9",".",".","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","35","3.471","40.0","25.7","25.7","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Fund Data Analytics for Econ","570","001","","94","3.761","63.8","24.5","11.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis","581","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Economics","690","002","","33","3.371","33.3","30.3","12.1","9.1","9.1",".",".","6.1",".",".",".",".",".",".",".","."
"Senior Thesis","692","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","45","3.756","68.9","17.8","8.9","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","695","002","","44","3.523","36.4","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Data Analysis","","Course Total","","89","3.640","52.8","27.0","15.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","13","3.946","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
