"HEC","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"","202
001","187","3.417","52.4","16.0","15.5","6.4","4.8","3.7","1.1",".",".",".",".",".",".",".",".","."
"","202
003","189","3.307","46.0","15.9","18.0","7.4","6.9","4.8","1.1",".",".",".",".",".",".",".",".","."
"","202
103","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SoHE Career & Leadership Dev","Course Total","379","3.367","49.6","15.8","16.6","6.9","5.8","4.2","1.1",".",".",".",".",".",".",".",".","."
"Human Ecology Special Topics","301
002","10","3.500","80.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","815
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Skills for Comm Leaders","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Seminar","980
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"498
INTER-HE","Dept. Total","409","3.397","52.1","14.7","15.4","6.4","5.6","4.2","1.0","0.7",".",".",".",".",".",".",".","."
