"BUS","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","Dept. Total","4196","3.322","30.0","19.3","15.9","7.3","4.7","0.4","0.4","0.0","",".","21.5","0.1","",".","0.1","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","179","2.895","0.6","0.6","1.7","0.6","0.6",".",".",".","",".","93.9","0.6","",".",".",".",".","."
"Sophomore","","851","3.093","10.6","10.6","14.0","6.8","5.5","0.2","0.5",".","",".","51.6","0.2","",".",".",".",".","."
"Junior","","1182","3.204","21.1","20.6","22.8","9.1","7.0","0.3","0.3",".","",".","18.5","0.2","",".","0.1",".",".","."
"Senior","","1249","3.336","31.1","28.0","18.1","10.3","4.9","0.8","0.4","0.1","",".","5.9",".","",".","0.2","0.2",".","."
"Undergraduates","","3461","3.246","21.0","19.8","17.8","8.6","5.5","0.5","0.3","0.0","",".","26.0","0.1","",".","0.1","0.1",".","."
"Special","","22","3.500","31.8","18.2",".","9.1","4.5",".",".","4.5","",".","9.1",".","",".",".",".","22.7","."
"Graduate","","713","3.809","73.4","17.1","7.3","1.0","0.6",".","0.4",".","",".","0.3",".","",".",".",".",".","."
"","Dept. Total","4196","3.322","30.0","19.3","15.9","7.3","4.7","0.4","0.4","0.0","",".","21.5","0.1","",".","0.1","0.0","0.1","."
