"L&S","","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"296
ECON","Dept. Total","4936","3.250","33.9","23.0","20.9","12.2","7.0","1.4","0.7","0.2","",".","0.1","",".","",".","0.4","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","515","3.111","27.0","17.9","25.8","15.9","10.5","1.2","1.4",".","",".",".","",".","",".","0.4",".",".","."
"Sophomore","","1373","3.225","29.0","24.3","22.9","14.1","7.6","1.6","0.2",".","",".",".","",".","",".","0.4",".",".","."
"Junior","","1122","3.162","25.9","25.8","20.5","16.5","8.1","2.1","0.5","0.1","",".",".","",".","",".","0.3","0.1",".","."
"Senior","","1234","3.256","36.4","22.4","19.2","11.0","7.2","1.5","1.4","0.2","",".","0.4","",".","",".",".","0.1",".","."
"Undergraduates","","4244","3.202","30.1","23.4","21.5","14.0","8.0","1.7","0.8","0.1","",".","0.1","",".","",".","0.3","0.0",".","."
"Special","","33","3.323","33.3","21.2","30.3",".","12.1",".",".",".","",".",".","",".","",".",".",".","3.0","."
"Graduate","","659","3.664","58.7","20.8","16.1","0.6","0.8",".","0.6","0.8","",".",".","",".","",".","1.7",".",".","."
"","Dept. Total","4936","3.250","33.9","23.0","20.9","12.2","7.0","1.4","0.7","0.2","",".","0.1","",".","",".","0.4","0.0","0.0","."
