"ALS","","","","","","","","","","","","","","","","","","","",""
"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","37","",".",".",".",".",".",".",".","97.3",".",".",".","2.7",".",".",".","."
"Spec Work-Ag & Appl Economics
999","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"108
A A E","Dept. Total","","573","3.481","45.9","22.7","13.6","4.7","3.3","0.7","1.0","7.2",".",".",".","0.2","0.7",".",".","."
