"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"CIV ENGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","25","3.208","20.0","20.0","48.0","4.0","8.0",".",".",".",".",".","",".",".",".",".",".","."
"Junior","128","3.152","24.2","24.2","29.7","10.2","9.4","0.8","1.6",".",".",".","",".",".",".",".",".","."
"Senior","640","3.561","54.8","20.0","15.2","5.5","3.1","0.8","0.3",".",".",".","",".",".","0.2",".","0.2","."
"Undergraduates","796","3.479","48.7","20.6","18.5","6.2","4.5","0.8","0.5",".",".",".","",".",".","0.1",".","0.1","."
"Special","8","3.667","50.0",".","25.0",".",".",".",".","12.5",".",".","",".",".",".",".","12.5","."
"Graduate","362","3.828","61.3","9.4","3.3","1.4","0.3",".",".","18.0","0.3",".","",".","6.1",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","",".","",".",".",".",".",".","."
