"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science
126
001","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Critical Thinkng & Expressn
200
001","152","3.735","59.9","29.6","6.6","3.3",".",".",".","0.7",".","",".",".","",".","",".",".",".","."
"W Culture:Sci,Tech,Phil II
202
001","71","3.197","16.9","26.8","40.8","9.9","5.6",".",".",".",".","",".",".","",".","",".",".",".","."
"West Cult: Lit&The Arts II
204
001","105","3.390","33.3","34.3","14.3","12.4","3.8","1.0","1.0",".",".","",".",".","",".","",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II
206
001","19","3.667","57.9","15.8","15.8","5.3",".",".",".",".",".","",".",".","",".","","5.3",".",".","."
"Directed Study
299
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"350
002","11","3.000","18.2","18.2","27.3",".","27.3",".",".",".",".","",".",".","",".","","9.1",".",".","."
"350
012","15","3.036","13.3","33.3","20.0",".","26.7",".",".",".",".","",".",".","",".","",".","6.7",".","."
"Course Total
Rome: Lust for Glory","26","3.018","15.4","26.9","23.1",".","26.9",".",".",".","",".",".","",".","",".","3.8","3.8",".","."
"371
001","23","3.783","73.9","17.4","4.3",".","4.3",".",".",".",".","",".",".","",".","",".",".",".","."
"371
002","27","3.741","74.1","22.2",".",".",".",".","3.7",".",".","",".",".","",".","",".",".",".","."
"371
004","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Interdis in Arts & Humanities","56","3.714","69.6","21.4","3.6",".","3.6",".","1.8",".","",".",".","",".","",".",".",".",".","."
"Capstone Integration Seminar
400
001","21","3.900","90.5",".",".",".","4.8",".",".",".",".","",".",".","",".","","4.8",".",".","."
"Modern Jewish Thought
423
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Dept. Total
500
ILS","466","3.533","47.6","26.8","14.2","5.8","3.9","0.2","0.4","0.2","",".",".","",".","",".","0.6","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","22","3.432","31.8","36.4","18.2","13.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","205","3.524","45.4","28.3","15.6","5.9","2.9","0.5","0.5",".","",".",".","",".","",".","0.5","0.5",".","."
"Junior","150","3.487","46.0","26.0","15.3","6.0","6.0",".","0.7",".","",".",".","",".","",".",".",".",".","."
"Senior","88","3.663","60.2","22.7","8.0","3.4","3.4",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Undergraduates","465","3.533","47.7","26.9","14.2","5.8","3.9","0.2","0.4",".","",".",".","",".","",".","0.6","0.2",".","."
"Special","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","466","3.533","47.6","26.8","14.2","5.8","3.9","0.2","0.4","0.2","",".",".","",".","",".","0.6","0.2",".","."
