"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","138","3.577","48.6","29.0","13.8","5.8","1.4","0.7",".","0.7",".",".",".",".",".",".",".","."
"","240
002","140","3.400","41.4","14.3","32.1","10.0","0.7","1.4",".",".",".",".",".",".",".",".",".","."
"","240
003","136","3.371","38.2","19.1","36.0","2.2","1.5","0.7","2.2",".",".",".",".",".",".",".",".","."
"","240
004","129","3.484","36.4","38.8","17.8","3.1","1.6",".","1.6",".",".",".",".",".","0.8",".",".","."
"Data Science Modeling I","Course Total","543","3.457","41.3","25.0","25.0","5.3","1.3","0.7","0.9","0.2",".",".",".",".","0.2",".",".","."
"","301
001","137","2.818","20.4","12.4","24.8","15.3","19.0","5.8","2.2",".",".",".",".",".",".",".",".","."
"","301
002","121","2.665","14.9","15.7","19.0","18.2","20.7","8.3","3.3",".",".",".",".",".",".",".",".","."
"","301
003","128","2.906","28.9","12.5","18.0","15.6","16.4","5.5","3.1",".",".",".",".",".",".",".",".","."
"","301
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","390","2.792","21.3","13.3","20.5","16.4","19.2","6.4","2.8",".",".",".",".",".",".",".",".","."
"","303
001","31","3.806","77.4","9.7","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","73","3.651","61.6","19.2","11.0","4.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"","303
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics I","Course Total","121","3.740","71.1","14.0","9.1","3.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"","304
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","36","3.829","72.2","19.4","2.8","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"","304
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics II","Course Total","61","3.858","78.7","13.1","4.9","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"","305
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","14","3.731","78.6",".",".","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","305
004","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics III","Course Total","34","3.864","88.2",".","2.9","2.9","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","52","3.683","53.8","32.7","9.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","50","3.276","32.0","26.0","24.0","8.0","4.0","2.0","2.0","2.0",".",".",".",".",".",".",".","."
"","311
001","72","3.296","38.9","23.6","11.1","15.3","5.6","4.2",".",".",".",".",".",".","1.4",".",".","."
"","311
002","65","3.289","43.1","18.5","16.9","7.7","6.2","4.6","1.5",".",".",".",".",".","1.5",".",".","."
"","311
004","61","3.075","31.1","16.4","21.3","11.5","9.8","8.2",".",".",".",".",".",".",".","1.6",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","198","3.226","37.9","19.7","16.2","11.6","7.1","5.6","0.5",".",".",".",".",".","1.0","0.5",".","."
"Intro Math Stat (Theo,Meth) II","312
001","28","3.732","67.9","17.9","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","324
001","141","3.128","25.5","20.6","28.4","10.6","12.8","1.4","0.7",".",".",".",".",".",".",".",".","."
"","324
002","138","3.101","26.1","19.6","26.1","12.3","12.3","3.6",".",".",".",".",".",".",".",".",".","."
"","324
003","133","3.079","24.8","16.5","29.3","14.3","12.8","1.5","0.8",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","412","3.103","25.5","18.9","27.9","12.4","12.6","2.2","0.5",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","137","2.985","27.0","9.5","23.4","19.7","18.2","1.5","0.7",".",".",".",".",".",".",".",".","."
"","340
002","139","3.115","32.4","10.8","22.3","19.4","13.7","1.4",".",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","276","3.051","29.7","10.1","22.8","19.6","15.9","1.4","0.4",".",".",".",".",".",".",".",".","."
"","351
001","53","3.217","24.5","24.5","22.6","26.4","1.9",".",".",".",".",".",".",".",".",".",".","."
"","351
002","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 351 of 476",""
