"Summary by Level","#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","16","1.267","6.3",".",".","",".",".","6.3","6.3","50.0","6.3",".","",".","",".","12.5",".",".","."
"Graduate","7","3.912","71.4","14.3",".","",".",".",".",".","14.3",".",".","",".","",".",".",".",".","."
"Prof Yr 1","959","1.285","15.7",".","19.9","",".","1.9",".","0.2","0.2",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1376","1.261","11.9",".","10.6","",".","1.5","0.1","0.1","32.9",".",".","",".","",".",".",".",".","1.7"
"Prof Yr 3","1121","1.177","7.9",".","9.4","",".","1.3","0.2","0.3","42.8","0.2",".","",".","",".",".",".",".","3.0"
"Prof Yr 4","47","1.365","10.6",".","25.5","",".",".",".",".","12.8",".",".","",".","",".","2.1",".",".","."
"Professionals","3503","1.255","11.7",".","13.0","",".","1.5","0.1","0.2","26.9","0.1",".","",".","",".","0.0",".",".","1.6"
