"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","306","3.087","20.6","23.2","27.5","17.6","7.5","1.6","1.3",".",".",".",".",".","0.7",".",".","."
"","101
002","333","3.248","29.7","24.6","24.9","10.8","6.9","2.1","0.3",".",".",".",".",".","0.6",".",".","."
"","101
003","261","3.397","47.1","21.1","12.3","7.7","10.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"","101
004","286","3.346","28.3","28.7","30.1","9.8","3.1",".",".",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1186","3.263","30.9","24.5","24.0","11.6","6.9","1.2","0.6",".",".",".",".",".","0.3",".",".","."
"","102
001","146","2.942","18.5","15.8","23.3","24.7","15.8","2.1",".",".",".",".",".",".",".",".",".","."
"","102
002","335","2.991","16.7","18.8","29.3","22.4","10.1","2.4","0.3",".",".",".",".",".",".",".",".","."
"","102
003","260","3.537","46.9","31.2","12.3","5.4","2.7","1.2","0.4",".",".",".",".",".",".",".",".","."
"","102
004","6","2.833","16.7","16.7","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","747","3.171","27.6","22.5","22.1","16.9","8.8","1.9","0.3",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"","300
001","11","2.773","27.3","9.1","9.1","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".","."
"","300
002","8","3.000","25.0","25.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","300
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","23","2.913","21.7","21.7","8.7","21.7","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","301
001","160","3.203","29.4","24.4","20.0","13.1","8.8","3.1",".","1.3",".",".",".",".",".",".",".","."
"","301
002","177","3.054","19.8","24.9","22.0","19.8","9.0","2.3","1.1",".",".",".",".",".","1.1",".",".","."
"Intmed Microeconomic Theory","Course Total","337","3.125","24.3","24.6","21.1","16.6","8.9","2.7","0.6","0.6",".",".",".",".","0.6",".",".","."
"","302
001","190","3.074","20.5","25.3","25.3","14.7","10.0","4.2",".",".",".",".",".",".",".",".",".","."
"","302
002","86","2.866","15.1","15.1","27.9","25.6","12.8",".","3.5",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","276","3.009","18.8","22.1","26.1","18.1","10.9","2.9","1.1",".",".",".",".",".",".",".",".","."
"","306
001","24","3.750","70.8","12.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","306
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","31","3.758","67.7","19.4","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","215","2.953","25.6","15.8","19.1","16.7","18.1","2.3","2.3",".",".",".",".",".",".",".",".","."
"","310
002","141","3.110","22.7","19.9","27.0","19.1","10.6","0.7",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","356","3.015","24.4","17.4","22.2","17.7","15.2","1.7","1.4",".",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","29","3.552","41.4","37.9","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization for Econ","315
001","44","3.591","59.1","15.9","20.5","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","5","***","","","","","","","","","","","","","","","",""
"Money and Banking","330
001","89","2.938","15.7","27.0","19.1","21.3","7.9","6.7","1.1",".",".",".",".",".","1.1",".",".","."
"Environmental Economics","343
001","31","2.984","25.8","16.1","19.4","12.9","22.6","3.2",".",".",".",".",".",".",".",".",".","."
"","390
001","42","3.390","23.8","35.7","33.3","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"","390
002","43","3.616","55.8","25.6","11.6","4.7",".","2.3",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","Course Total","85","3.506","40.0","30.6","22.4","3.5","1.2","1.2",".",".",".",".",".",".","1.2",".",".","."
