"Research","Course Total","42","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
"","999
016","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
034","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"640
ATM OCN","Dept. Total","800","3.294","39.1","18.4","15.9","10.5","4.9","2.1","1.4","4.6","",".",".","",".","1.9","0.6","0.1","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","120","3.099","30.0","19.2","18.3","20.8","7.5","2.5","1.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","234","3.210","39.7","17.1","17.5","15.0","6.4","1.7","2.6",".","",".",".","",".",".",".",".",".","."
"Junior","","136","3.257","36.8","25.0","17.6","9.6","5.1","2.9","2.2","0.7","",".",".","",".",".",".",".",".","."
"Senior","","170","3.403","49.4","19.4","15.9","5.3","4.7","3.5",".",".","",".",".","",".","0.6","1.2",".",".","."
"Undergraduates","","660","3.246","39.8","19.7","17.3","12.4","5.9","2.6","1.7","0.2","",".",".","",".","0.2","0.3",".",".","."
"Special","","13","3.143","7.7",".",".","7.7",".",".",".","46.2","",".",".","",".",".",".","7.7","30.8","."
"Graduate","","127","3.695","38.6","13.4","10.2","0.8",".",".",".","23.6","",".",".","",".","11.0","2.4",".",".","."
"","Dept. Total","800","3.294","39.1","18.4","15.9","10.5","4.9","2.1","1.4","4.6","",".",".","",".","1.9","0.6","0.1","0.5","."
