"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","46","3.298","21.7","37.0","19.6",".","13.0",".",".",".",".",".",".",".","6.5","2.2",".","."
"19&20 C Russian Lit Tran II","204
001","24","3.896","91.7",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Slavic Science Fiction","207
001","73","3.659","60.3","21.9","4.1","4.1","2.7",".","1.4",".",".",".",".",".","1.4",".","4.1","."
"Chekhov: Drama of Modern Life","220
001","41","3.838","70.7","14.6","2.4",".","2.4",".",".","9.8",".",".",".",".",".",".",".","."
"Russia's Greatest Enigma:Gogol","221
001","44","3.549","52.3","18.2","9.1","6.8","6.8",".",".","4.5",".",".",".",".",".",".","2.3","."
"Tolstoy in Translation","224
001","43","3.462","69.8","4.7","4.7",".",".","4.7","7.0",".",".",".",".",".",".","9.3",".","."
"","234
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","234
002","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","Course Total","24","3.865","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247
002","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","247
003","14","3.808","64.3","21.4","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","Course Total","34","3.828","67.6","20.6","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Dante's Divine Comedy","253
001","56","3.438","41.1","19.6","30.4","3.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","266
001","48","3.596","64.6","10.4","12.5","2.1","6.3","2.1",".",".",".",".",".",".",".","2.1",".","."
"","266
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","266
003","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Topics in Russ Lit & Cult","Course Total","83","3.726","73.5","9.6","9.6","1.2","3.6","1.2",".",".",".",".",".",".",".","1.2",".","."
"Scand Lit in Tran-20th C","274
001","23","3.478","39.1","34.8","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","276
001","43","3.849","86.0","11.6",".",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"","276
002","64","3.883","87.5","7.8","1.6",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","276
003","22","3.650","50.0","31.8",".","4.5","4.5",".",".","4.5",".",".",".",".","4.5",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","129","3.835","80.6","13.2","0.8","0.8","2.3",".","0.8","0.8",".",".",".",".","0.8",".",".","."
"Yiddish Lit & Culture, America","279
001","19","3.500","47.4","26.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324
001","38","3.250","36.8","15.8","26.3","13.2","2.6","5.3",".",".",".",".",".",".",".",".",".","."
"Vampire in Literature and Film","327
001","111","3.736","72.1","12.6","7.2","3.6","3.6",".",".",".",".",".",".",".","0.9",".",".","."
"Lit in Transl-Isak Dinesen","334
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Nordic Storyteller","345
001","9","3.313","22.2","22.2","33.3","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Living at the End of Times","361
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410
001","26","3.940","84.6","11.5",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
