"","990
137","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
140","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","44","",".",".",".",".",".",".","",".","86.4","",".",".",".","13.6",".",".",".","."
"207
B M E","Dept. Total","1193","3.713","54.0","15.6","9.3","2.3","0.7","0.2","",".","7.1","",".","8.8","0.2","1.6","0.3","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.571","70.0","20.0",".",".",".","10.0","",".",".","",".",".",".",".",".",".",".","."
"Junior","","163","3.746","65.0","16.6","9.8","3.1","0.6",".","",".",".","",".","4.3","0.6",".",".",".",".","."
"Senior","","734","3.689","60.2","18.0","12.0","2.7","1.0","0.1","",".",".","",".","5.6",".",".","0.4",".",".","."
"Undergraduates","","907","3.698","61.2","17.8","11.5","2.8","0.9","0.2","",".",".","",".","5.3","0.1",".","0.3",".",".","."
"Special","","7","3.250","28.6","14.3","28.6","14.3",".",".","",".",".","",".",".",".",".",".","14.3",".","."
"Graduate","","271","3.835","32.1","8.5","1.8","0.4",".",".","",".","28.8","",".","21.0","0.4","7.0",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","6","3.500",".","16.7",".",".",".",".","",".","83.3","",".",".",".",".",".",".",".","."
"Professionals","","8","3.500",".","12.5",".",".",".",".","",".","87.5","",".",".",".",".",".",".",".","."
"","Dept. Total","1193","3.713","54.0","15.6","9.3","2.3","0.7","0.2","",".","7.1","",".","8.8","0.2","1.6","0.3","0.1",".","."
