"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","170
001","102","3.922","87.3","10.8","1.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","99","3.909","85.9","10.1","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Practicum","Course Total","201","3.915","86.6","10.4","2.5","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","26","3.327","23.1","34.6","26.9","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.250","31.8","27.3","13.6","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","24","3.500","29.2","37.5","29.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","397
006","27","3.519","22.2","66.7","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","397
007","27","3.537","37.0","33.3","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","22","3.341","31.8","22.7","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
009","21","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","26","3.620","38.5","50.0","3.8",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","397
011","18","3.583","27.8","61.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","22","3.477","9.1","77.3","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","20","3.375","20.0","45.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","21","3.381","14.3","66.7","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","397
016","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","21","3.786","81.0","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
018","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
019","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
020","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
021","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","446","3.614","46.2","36.3","12.8","2.5","1.6","0.2",".",".",".",".",".",".","0.4",".",".","."
"","601
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Collaborative Capstone II","941
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
