"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"Fourth Semester Thai
230","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Vietnamese
232","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hindi
234","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Modern Tibetan
236","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Persian
238","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Urdu
240","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"302","001","","14","3.500","57.1","28.6",".",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"302","002","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","Course Total","","27","3.574","51.9","33.3","7.4",".","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean
306","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Classical Chinese
312","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hmong
326","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Indonesian
328","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Sixth Semester Thai
330","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Sixth Semester Hindi
334","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Tibetan
336","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Persian
338","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Urdu
340","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"356","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"356","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"356","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Asian","Course Total","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"358","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Asian Language","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Japanese: Foundations
375","001","","18","3.611","44.4","44.4","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
