"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Psychology of Women and Gender","522
001","34","3.632","58.8","20.6","8.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","158","3.748","69.0","15.8","10.1","1.9",".","1.3",".",".",".",".",".",".","1.9",".",".","."
"Psych Effects of the Internet","532
001","185","3.489","57.8","14.6","11.4","5.4","8.6","1.6","0.5",".",".",".",".",".",".",".",".","."
"","601
001","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","25","3.460","24.0","48.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","25","3.750","64.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".","12.0",".",".","."
"","601
006","25","3.860","84.0","12.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","601
007","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
008","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
009","25","3.360","48.0","32.0","8.0",".","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"","601
00A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
010","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
011","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
012","26","3.860","76.9","11.5","7.7",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Current Topics - Psychology","Course Total","275","3.782","71.6","17.5","7.3","0.7","0.7",".","0.7",".",".",".",".",".","1.5",".",".","."
"Intro to Psychotherapy","607
001","25","3.540","48.0","12.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
007","11","3.958","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
009","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
017","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
023","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
039","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
044","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
045","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
058","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
065","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"","621
072","5","***","","","","","","","","","",".",".",".",".",".",".","."
