"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Peds Assess for Mntl Hlth APNs
736","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"746","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"746","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","001","","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Prgm Planning, Eval, QI","Course Total","","32","3.938","90.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Curr Dev&Eval-Nurs Ed
785","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Teach&Learn in Nursng
786","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study
799","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Quant Design & Methods
803","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement in Health Research
805","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"806","001","","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Eval & App Evidence-Based Prac","Course Total","","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829","020","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership IV","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"906","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 454 of 476",""
