"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201","001","","66","3.636","62.1","22.7","9.1","1.5","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"201","002","","74","3.791","67.6","28.4","1.4",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"201","003","","64","3.863","76.6","17.2","1.6",".","1.6",".",".","3.1",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","204","3.762","68.6","23.0","3.9","0.5","2.0","0.5","0.5","1.0",".",".",".",".",".",".",".","."
"299","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology
302","001","","28","3.269","39.3","7.1","28.6","7.1","7.1","3.6",".","3.6",".",".",".",".",".",".","3.6","."
"Parasitology
350","001","","17","3.375","47.1","5.9","23.5","5.9","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Special Topics
375","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tax & Bionomcs-Immature Ins
432","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions
505","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Systems Thinking  Global Hlth
570","001","","52","3.827","80.8","11.5","5.8",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"Molecular Ecology
624","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium
801","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","17","",".",".",".",".",".",".",".","47.1","5.9",".",".","47.1",".",".",".","."
