"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","138","3.693","72.5","7.2","11.6","4.3","2.9",".","0.7","0.7",".",".",".",".",".",".",".","."
"","100
002","10","3.450","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
003","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","3.333","68.4",".","5.3","10.5",".",".","10.5",".",".",".",".",".","5.3",".",".","."
"Experiencing Theatre","Course Total","182","3.646","73.1","6.6","9.9","4.9","2.2",".","2.2","0.5",".",".",".",".","0.5",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","133","3.851","77.4","19.5","2.3",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","20","3.575","60.0","15.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","18","3.722","66.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","18","3.611","77.8","5.6","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","150
004","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","114","3.912","93.0","2.6","2.6","0.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","25","3.220","56.0","24.0",".","4.0",".","4.0","12.0",".",".",".",".",".",".",".",".","."
"","162
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Experience","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","29","3.621","75.9",".","17.2",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","200
002","30","3.810","83.3",".","6.7","3.3","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"","200
003","29","3.750","75.9","6.9","6.9",".","6.9",".",".",".",".",".",".",".","3.4",".",".","."
"","200
004","30","3.717","66.7","23.3","3.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","118","3.724","75.4","7.6","8.5","0.8","5.1",".","0.8",".",".",".",".",".","0.8","0.8",".","."
"Scenic Studio Practicum","220
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Problem Solving","234
001","24","3.771","79.2","12.5",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","16","3.625","75.0","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","250
002","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","33","3.788","84.8","3.0","6.1","3.0",".","3.0",".",".",".",".",".",".",".",".",".","."
"Producing Theatre","260
001","23","3.674","69.6","21.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","270
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
101","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
111","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
121","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
122","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 111 of 476",""
