"EGR","","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
320
E C E","3531","3.487","48.8","19.0","14.4","5.0","3.3","1.0","0.6","6.0","",".","0.2","",".","1.2","0.4","0.0","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","77","3.145","48.1","7.8","19.5","5.2","10.4","3.9","2.6",".","",".",".","",".",".","2.6",".",".","."
"Sophomore","374","3.454","58.6","13.9","13.9","6.1","3.7","1.3","1.6",".","",".",".","",".",".","0.8",".",".","."
"Junior","846","3.445","50.2","22.6","16.5","4.8","3.5","0.9","0.9",".","",".",".","",".",".","0.2","0.1",".","."
"Senior","1545","3.470","49.8","21.6","16.2","6.1","3.9","1.4","0.3","0.1","",".",".","",".",".","0.4",".","0.1","."
"Undergraduates","2842","3.452","51.1","20.5","16.1","5.7","4.0","1.3","0.7","0.0","",".",".","",".",".","0.5","0.0","0.1","."
"Special","53","3.663","62.3","15.1","7.5","9.4","1.9",".",".","3.8","",".",".","",".",".",".",".",".","."
"Graduate","638","3.714","37.6","12.7","7.1","1.4","0.3",".",".","32.6","",".","0.9","",".","6.6","0.3","0.3","0.2","."
"Dept. Total","3533","3.487","48.8","19.0","14.4","5.0","3.3","1.0","0.6","6.0","",".","0.2","",".","1.2","0.4","0.1","0.1","."
