"GEOLOGICAL ENGINEERING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","",""
"Prob Solv Using Cmptr Tools","291","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350","001","","11","3.091","27.3","18.2","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geological Engr","401","001","","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Slope Stab and Earth Ret","430","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Shallow & Deep Fndtn Syst","432","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Underground Openings","434","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geological Engr Design","479","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remediation Geotechnics","635","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Flow Modeling","724","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Unsaturated Soil Geoengr","732","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","","Course Total","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"Seminar","900","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
