"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Advanced Ensemble-Woodwind","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"567","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","135","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567","189","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567","220","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"568","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"569","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"569","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"569","084","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","171","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-String","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Univ Symphony Orchestra
570","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble
574","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band
576","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chorale
577","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Choir
578","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Madrigal Singers
58","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"60","001","","105","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"60","002","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"All-Univ String Orchestra","Course Total","","151","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls
619","001","","8","3.438","62.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Univ Symphony Orchestra
62","001","","64","3.938","96.9",".","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"Renaissance Polyphony
621","039","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Form and Analysis II
624","051","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Conducting Lab
632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Vocal Techniques
749","001","","13","3.542","23.1","53.8","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Piano Pedagogy Workshop
752","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Duo Sonata Literature
796","047","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"798","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Instrumental Literature","Course Total","","3","***","","","","","","","","","","","","","","","",""
