"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Jazz in 20th-Century America","102
001","228","3.644","63.2","14.9","11.0","2.2","2.2","0.9","1.3","0.4",".",".",".",".",".",".","3.9","."
"Intro-Mus Cult of the World","103
001","153","3.546","59.5","9.2","20.3","4.6","5.9","0.7",".",".",".",".",".",".",".",".",".","."
"","113
001","674","3.742","84.1","4.2","4.5","1.9","1.8","0.9","2.5","0.1",".",".",".",".",".",".",".","."
"","113
002","677","3.926","95.6","0.6","1.9",".","0.7","0.4","0.6",".",".",".",".",".",".","0.1",".","."
"","113
003","680","3.772","86.9","0.7","5.9","1.0","2.4","1.5","1.5",".",".",".",".",".","0.1",".",".","."
"Music in Performance","Course Total","2031","3.813","88.9","1.8","4.1","1.0","1.6","0.9","1.5","0.0",".",".",".",".","0.0","0.0",".","."
"","122
001","22","3.159","22.7","36.4","27.3","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","122
002","30","3.317","26.7","26.7","33.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","52","3.250","25.0","30.8","30.8","7.7","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"","151
001","36","3.729","77.8","8.3","5.6",".","2.8",".","2.8",".",".",".",".",".","2.8",".",".","."
"","151
002","64","3.603","50.0","21.9","10.9","3.1","4.7",".",".","9.4",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","100","3.651","60.0","17.0","9.0","2.0","4.0",".","1.0","6.0",".",".",".",".","1.0",".",".","."
"","172
101","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","10","3.300","50.0","20.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","172
103","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","15","3.300","40.0","13.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","52","3.404","40.4","23.1","25.0","3.8","5.8","1.9",".",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","31","3.694","77.4","3.2","9.7",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Theory & Composition","229
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","5","***","","","","","","","","","","","","","","","",""
"University Opera","256
001","19","3.917","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","260
001","15","3.667","86.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","260
002","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","15","3.857","80.0",".","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Global Hand Drumming Ensemble","Course Total","44","3.814","86.4",".","6.8",".","2.3","2.3",".",".",".",".",".",".","2.3",".",".","."
"","262
050","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
098","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
102","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
020","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 301 of 476",""
