"","999
125","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
129","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
149","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"DMA Recital","Course Total","45","3.988","93.3","2.2",".","",".","",".",".","",".","",".","",".",".","",".","",".","4.4",".",".","."
"664
MUS PERF","Dept. Total","436","3.946","90.1","6.0","2.3","",".","",".","0.2","",".","",".","",".",".","",".","",".","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.920","89.3","7.1","3.6","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","85","3.946","91.8","7.1",".","",".","",".","1.2","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","71","3.886","81.7","11.3","5.6","",".","",".",".","",".","",".","",".",".","",".","",".","1.4",".",".","."
"Senior","","105","3.932","87.6","8.6","2.9","",".","",".",".","",".","",".","",".",".","",".","",".","1.0",".",".","."
"Undergraduates","","289","3.924","87.5","8.7","2.8","",".","",".","0.3","",".","",".","",".",".","",".","",".","0.7",".",".","."
"Special","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","144","3.977","95.1","0.7","1.4","",".","",".",".","",".","",".","",".",".","",".","",".","2.8",".",".","."
"","Dept. Total","436","3.946","90.1","6.0","2.3","",".","",".","0.2","",".","",".","",".",".","",".","",".","1.4",".",".","."
