"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","464
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
003","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","","56","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"EC/ESL Student Teaching","468
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","","22","3.619","68.2",".","18.2",".","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"","534
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","534
004","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Game Design","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methds&Matls-Early Childhd Edu","550
001","","101","3.945","91.1","5.0","3.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Adv Pract-Teach Soc Studies","559
001","","24","3.891","79.2","12.5","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Topics in Game Design","576
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Adv Prac-Tch Engl Secn Schl","596
001","","16","3.900","81.3","6.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Fld Proj-Lib&Info Agencies","620
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","30.0","."
"","674
002","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
003","","16","4.000","81.3",".",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","674
004","","24","3.913","83.3","8.3","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Adv Methods in Teaching ESL","Course Total","","67","3.968","89.6","3.0","1.5",".",".",".",".",".",".",".",".",".","6.0",".",".","."
"","675
001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"","675
004","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","75","3.980","96.0","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"Bilingualism&Biliteracy-Schls","676
002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in CS&D","720
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","727
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Studies and Sci Education","734
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 89 of 476"
