"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","3.200","33.3","26.7","6.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","11","3.500","54.5","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","10","3.050","30.0","10.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","36","3.250","38.9","19.4","19.4","8.3","11.1",".","2.8",".",".",".",".",".",".",".",".","."
"","102
001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","18","3.667","50.0","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","7","3.357","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","11","3.591","54.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","46","3.587","50.0","30.4","10.9","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","11","3.455","54.5","18.2","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","23","3.522","52.2","26.1","8.7",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"","204
001","","6","2.750","16.7","33.3",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","204
002","","14","3.393","57.1","14.3","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","204
003","","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","26","3.212","38.5","19.2","23.1","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001","","17","3.441","47.1","23.5","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","249
002","","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","26","3.538","57.7","19.2","7.7","3.8","11.5",".",".",".",".",".",".",".",".",".",".","."
"","258
001","","12","3.417","58.3","25.0",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","258
002","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","28","3.661","64.3","28.6",".","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"","262
001","","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","24","3.833","83.3","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Nazi Culture","272
001","","63","3.762","73.0","14.3","4.8","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Kafka and the Kafkaesque","275
001","","49","3.714","73.5","12.2","10.2",".",".","4.1",".",".",".",".",".",".",".",".",".","."
"","276
001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
002","","55","3.954","94.5","1.8",".",".","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"","276
003","","23","3.565","52.2","21.7","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","","95","3.846","82.1","8.4","4.2","3.2","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279
001","","29","3.586","51.7","20.7","24.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intensive (Honors) German","285
001","","11","3.682","81.8","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Literature","362
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 251 of 476",""
