"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"SE Student Teaching: Gr. 4-12","478
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","28","3.875","85.7","10.7",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","505
002","","33","3.909","87.9","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","61","3.893","86.9","8.2","3.3",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partnering w/ Families","510
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Mgmt & Community Resource","520
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","","9","3.917","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
191","","10","3.885","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","630
192","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
199","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","38","3.945","84.2","7.9",".",".",".",".",".",".",".",".",".",".","7.9",".",".","."
"","660
079","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
099","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
100","","24","3.729","75.0","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","660
101","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
102","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","60","3.892","90.0","8.3",".",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Independent Reading","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Reh & MH Cnslg-Assessment","720
001","","33","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Addictions Counseling","721
001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Career Devel","725
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Reh Cnslg-Med & Psychsoc","750
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","860
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research in Spec Education","872
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","910
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reh Coun Ed-Teaching","930
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","941
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","941
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","941
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Internship Postsecondary Teach","942
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Rehb Couns Ed II","955
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Ldrshp&ProfIssues","983
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Meth Disability&RehabRsrch","985
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed - Diss Resrch Sem","988
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 83 of 476",""
