"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","303","3.219","29.0","26.1","21.8","13.9","5.9","2.6","0.7",".",".",".",".",".",".",".",".","."
"","102
001","20","3.475","35.0","25.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","35","3.243","25.7","22.9","34.3","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","37","3.365","35.1","18.9","35.1","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","102
004","37","3.351","35.1","18.9","35.1","2.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","129","3.345","32.6","20.9","35.7","4.7","6.2",".",".",".",".",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","18","3.959","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","192","2.898","16.1","18.2","27.6","13.5","20.3","2.6","1.0",".",".",".",".",".","0.5",".",".","."
"","304
001","31","3.274","32.3","3.2","54.8","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","304
002","32","3.047","21.9","6.3","53.1","9.4","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"","304
003","21","3.333","28.6","23.8","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","304
004","28","3.214","28.6","10.7","42.9","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","112","3.205","27.7","9.8","48.2","8.0","5.4",".","0.9",".",".",".",".",".",".",".",".","."
"","305
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","41","3.415","34.1","29.3","26.8","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Disease Biology","345
001","174","3.910","90.2","4.0","2.9",".","1.1","0.6",".",".",".",".",".",".","1.1",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","44","3.330","31.8","31.8","20.5","6.8","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","46","3.152","30.4","10.9","39.1","6.5","10.9",".","2.2",".",".",".",".",".",".",".",".","."
"Microbial Astrobiology","520
001","21","4.000","95.2",".",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","8","3.250","12.5","62.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","41","3.244","36.6","22.0","24.4","2.4","7.3","7.3",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","74","3.896","85.1","6.8","4.1",".","1.4",".",".","2.7",".",".",".",".",".",".",".","."
"","551
001","17","3.765","82.4","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","551
002","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Rsch Proj Microbio","Course Total","64","3.773","73.4","14.1","7.8","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Microbial Bioinformatics","657
001","48","3.968","91.7","6.3",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Microbiol-Atomic Resolution","668
001","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 10 of 476"
