"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Intro Nonparametric Stats","Course Total","61","3.238","31.1","21.3","21.3","23.0","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","371
002","134","2.808","23.9","11.2","20.1","14.9","20.9","4.5","3.7",".",".",".",".",".",".","0.7",".","."
"","371
003","115","2.961","28.7","10.4","24.3","13.0","18.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"","371
004","113","2.597","21.2","10.6","15.0","16.8","21.2","8.0","7.1",".",".",".",".",".",".",".",".","."
"","371
005","133","3.263","38.3","18.8","18.8","9.8","12.8","0.8","0.8",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","495","2.918","28.3","12.9","19.6","13.5","18.2","3.8","3.4",".",".",".",".",".",".","0.2",".","."
"Internship Class CS & Data Sci","403
001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Data Sci Computing Project","405
001","29","3.345","44.8","17.2","13.8","17.2","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","64","3.746","60.9","25.0","12.5",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","431
001","10","3.150","30.0","20.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","431
002","8","3.000","37.5","25.0","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","431
003","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","27","3.241","37.0","22.2","25.9","3.7","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"","436
001","43","3.702","51.2","34.9","11.6",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","436
002","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Data Visualization","Course Total","56","3.709","50.0","39.3","8.9",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"","451
001","67","3.478","44.8","25.4","17.9","7.5","3.0","1.5",".",".",".",".",".",".",".",".",".","."
"","451
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning","Course Total","69","3.493","46.4","24.6","17.4","7.2","2.9","1.4",".",".",".",".",".",".",".",".",".","."
"","453
001","41","3.613","43.9","46.3","4.9",".",".",".","2.4",".",".",".",".",".",".",".","2.4","."
"","453
002","20","3.842","65.0","30.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Deep Learning","Course Total","61","3.686","50.8","41.0","3.3",".",".",".","1.6","1.6",".",".",".",".",".",".","1.6","."
"","456
001","23","3.522","30.4","43.5","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","456
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Multivariate Analysis","Course Total","27","3.593","40.7","37.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","6","2.750","16.7",".","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"","475
003","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","16","2.969","25.0","25.0","18.8","6.3","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","6","2.750","33.3","16.7",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","35","3.412","37.1","22.9","31.4",".","2.9","2.9",".","2.9",".",".",".",".",".",".",".","."
"Statistical Methods I","601
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computing in Data Sci & Stat","606
001","47","3.489","44.7","34.0","8.5","4.3","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"","610
001","25","3.620","40.0","48.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","15","3.500","40.0","13.3","40.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","40","3.577","40.0","35.0","20.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"","615
001","34","3.206","41.2","14.7","17.6","8.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","615
002","48","3.604","60.4","12.5","16.7","8.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Statistical Learning","Course Total","82","3.439","52.4","13.4","17.1","8.5","6.1","2.4",".",".",".",".",".",".",".",".",".","."
"Prof. Skills Data Science","627
002","15","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 352 of 476",""
