"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","Dept. Total","6179","3.035","30.8","13.0","21.5","9.4","13.4","3.2","1.1","6.1","",".","1.3","",".","0.0","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","543","2.644","14.5","11.6","26.0","12.9","23.8","8.3","2.8",".","",".",".","",".",".","0.2",".",".","."
"Sophomore","","1958","3.018","25.9","14.9","26.6","12.1","15.2","3.9","1.1",".","",".",".","",".",".","0.3",".",".","."
"Junior","","1732","3.057","32.1","13.0","24.2","10.1","16.1","2.9","1.2",".","",".",".","",".",".","0.3",".",".","."
"Senior","","990","3.142","34.9","17.6","21.4","9.8","12.0","2.4","1.2","0.1","",".","0.1","",".",".","0.4",".",".","."
"Undergraduates","","5223","3.000","28.5","14.5","24.8","11.1","15.8","3.7","1.3","0.0","",".","0.0","",".",".","0.3",".",".","."
"Special","","16","3.327","25.0","25.0","37.5",".","12.5",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","1139","3.819","53.7","4.0","2.3","0.3","0.1",".",".","32.7","",".","6.8","",".","0.1",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","6381","3.035","33.0","12.6","20.8","9.1","13.0","3.1","1.1","5.9","",".","1.2","",".","0.0","0.2",".",".","."
