"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"Archaeology & Prehist World","102
001","153","3.358","30.7","32.7","20.9","6.5","3.9","0.7","1.3","2.6",".",".",".",".",".","0.7",".","."
"","104
001","465","3.846","82.2","10.8","4.3","1.1","0.6","0.6","0.2",".",".",".",".",".","0.2",".",".","."
"","104
002","467","3.862","86.7","6.9","3.9","0.6","1.1",".","0.9",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","932","3.854","84.4","8.8","4.1","0.9","0.9","0.3","0.5",".",".",".",".",".","0.1",".",".","."
"","105
001","296","3.493","50.7","16.9","20.3","5.1","6.1","0.7",".",".",".",".",".",".",".","0.3",".","."
"","105
002","291","3.538","54.0","16.8","20.3","3.4","4.5","0.7","0.3",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","587","3.515","52.3","16.9","20.3","4.3","5.3","0.7","0.2",".",".",".",".",".",".","0.2",".","."
"Principles of Archaeology","212
001","77","3.561","55.8","9.1","24.7","5.2",".",".","1.3","3.9",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Culture and Health","265
001","80","3.147","13.8","37.5","26.3","13.8","3.8",".","2.5",".",".",".",".",".","1.3",".",".","1.3"
"Africa: Introductory Survey","277
001","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","10","3.278","30.0","10.0","30.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","310
002","16","3.500","56.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","Course Total","26","3.420","46.2","19.2","19.2","7.7",".",".","3.8","3.8",".",".",".",".",".",".",".","."
"","322
001","77","3.868","77.9","3.9","3.9","1.3",".","1.3",".","11.7",".",".",".",".",".",".",".","."
"","322
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Origins of Civilization","Course Total","81","3.866","76.5","4.9","3.7","1.2",".","1.2",".","11.1",".",".",".",".","1.2",".",".","."
"","330
001","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","330
002","15","3.898","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Topics in Ethnology","Course Total","23","3.879","65.2","21.7",".",".",".",".",".",".",".",".",".",".","13.0",".",".","."
"Second Semester Yucatec Maya","377
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391
001","12","3.458","50.0","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","16","3.094","31.3","6.3","43.8",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411
001","20","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Historical Anthropology","424
001","8","3.917","62.5","12.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Anthropology by Women","443
001","14","3.375","14.3","35.7","35.7",".",".",".",".",".",".",".",".",".","7.1","7.1",".","."
"Stdy Abroad:Tpc-Cult Anthro","455
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnobotany","474
001","10","3.278","40.0",".","30.0","10.0","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"","490
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Undergraduate Seminar","Course Total","29","3.875","79.3","10.3","6.9",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Psychological Anthropology","545
001","19","3.719","47.4","26.3","10.5",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"Senior Honors Thesis","681
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Anthropology","690
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 181 of 476",""
