"L&S","","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205","001","87","3.698","59.8","29.9","2.3","4.6","1.1","1.1",".",".",".",".",".",".","1.1",".",".","."
"Art & Archaeology-Ancient Rome","304","001","34","3.517","50.0","11.8","20.6","2.9",".",".","2.9","11.8",".",".",".",".",".",".",".","."
"Sex and Violence in the ANE","308","001","39","3.703","51.3","33.3","7.7","2.6",".",".",".","2.6",".",".",".",".",".",".","2.6","."
"The Egyptians","321","001","58","3.245","43.1","8.6","25.9","6.9","3.4","3.4","3.4","1.7",".",".",".",".",".",".","3.4","."
"The Romans","322","001","129","3.684","70.5","17.8","2.3","3.1","2.3","1.6","1.6",".",".",".",".",".","0.8",".",".","."
"King David","335","001","17","3.786","64.7",".","17.6",".",".",".",".",".",".",".",".",".","5.9",".","11.8","."
"Classical Mythology","370","001","201","3.470","54.7","17.4","12.9","5.0","5.0","2.5","1.5","1.0",".",".",".",".",".",".",".","."
"Undergrad Smr:Classicl Wrld","591","001","14","3.786","92.9",".",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","","Course Total","3","***","","","","","","","","","","","","","","","",""
