"LATIN AMER, CARIB & IBERIAN  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction
260","001","","11","3.667","27.3","18.2","9.1",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Elementary Quechua
362","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua
364","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya
377","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"440","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
