"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","",""
"Senior","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Special","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","155","3.892","78.7","7.1","3.2","0.6","1.3","",".","",".","0.6","",".","6.5",".",".",".","0.6","1.3","."
"Prof Yr 2","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","","","",".",".",".","33.3",".",".","."
"Professionals","5","***","","","","","","","","","","","","",".",".",".","20.0",".",".","."
"","Dept. Total
164","3.893","77.4","7.3","3.0","0.6","1.2","",".","",".","1.8","",".","6.1",".",".","0.6","0.6","1.2","."
