"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Primary Care","Course Total","33","4.000","87.9",".",".",".",".",".",".","12.1",".",".",".",".",".",".",".","."
"SA WisCARES","716
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","52","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","103","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
