"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","112
003","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","","15","3.767","86.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","112
005","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","","77","3.805","88.3","3.9","1.3","1.3","2.6","1.3","1.3",".",".",".",".",".",".",".",".","."
"","176
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","","65","3.969","93.8","6.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","","145","3.762","77.2","12.4","3.4","2.1","4.1",".","0.7",".",".",".",".",".",".",".",".","."
"","212
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","","10","3.500","50.0","10.0","10.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","212
004","","10","3.200","50.0","10.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","","47","3.641","68.1","10.6","6.4","8.5","2.1","2.1",".","2.1",".",".",".",".",".",".",".","."
"","214
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","","17","3.676","88.2",".",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","222
002","","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","","34","3.721","91.2",".",".","2.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","224
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","224
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","50","3.980","94.0","4.0",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Life Drawing I","232
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Watercolor I","242
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","244
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
003","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","27","3.846","92.6",".",".",".",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"Color","302
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Making Comics 1","Course Total","","30","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Art and Code","309
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","312
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
