"","990
022","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
032","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
045","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","37","",".",".",".",".",".",".","",".","91.9","",".",".","",".","8.1","",".",".",".","."
"292
DY SCI","Dept. Total","207","3.619","69.6","1.9","3.4","1.4","2.9","2.9","",".","16.4","",".",".","",".","1.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","21","3.891","85.7","4.8","9.5",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","34","3.444","76.5",".","5.9","2.9","8.8","5.9","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","42","3.247","66.7","7.1","4.8","4.8","7.1","9.5","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","102","3.472","74.5","3.9","6.9","2.9","5.9","5.9","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","103","4.000","64.1",".",".",".",".",".","",".","33.0","",".",".","",".","2.9","",".",".",".","."
"","Dept. Total","207","3.619","69.6","1.9","3.4","1.4","2.9","2.9","",".","16.4","",".",".","",".","1.4","",".",".",".","."
