"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","",".",".",".",".",".",".","",".",".",".","100.0","",".",".","",".",".",".","."
"Sophomore","","15","2.286",".",".",".","20.0","13.3",".","",".",".",".","66.7","",".",".","",".",".",".","."
"Junior","","38","2.918","26.3","7.9","21.1","18.4","15.8",".","",".",".",".","10.5","",".",".","",".",".",".","."
"Senior","","139","3.392","58.3","13.7","18.0","0.7","6.5","0.7","",".","2.2",".",".","",".",".","",".",".",".","."
"Undergraduates","","201","3.248","45.3","10.9","16.4","5.5","8.5","0.5","",".","1.5",".","11.4","",".",".","",".",".",".","."
"Special","","6","3.176","16.7","16.7","33.3",".","16.7",".","",".",".",".","16.7","",".",".","",".",".",".","."
"Graduate","","93","3.680","39.8","15.1","4.3",".","1.1",".","",".","35.5","1.1",".","",".","3.2","",".",".",".","."
"","Dept. Total","300","3.321","43.0","12.3","13.0","3.7","6.3","0.3","",".","12.0","0.3","8.0","",".","1.0","",".",".",".","."
