"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","4","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","8","3.750","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","9","3.778","66.7","22.2","11.1",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","23","3.652","47.8","34.8","17.4",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","33","4.000","60.6",".",".",".",".","",".","",".","39.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","100","3.590","49.0","28.0","17.0","5.0","1.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","125","3.807","67.2","27.2","5.6",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","198","3.712","60.1","25.3","11.6","3.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","423","3.699","59.6","26.5","11.1","2.6","0.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
