"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Cryptography","435","001","","20","3.200","35.0","30.0","5.0","20.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443","001","","43","3.930","93.0",".","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","35","2.809","31.4","14.3",".","22.9","17.1","5.7","5.7","2.9",".",".",".",".",".",".",".","."
"Mathematics for Teachers","471","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473","001","","18","3.824","72.2","11.1","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","475","001","","18","2.278","27.8","11.1","5.6","11.1","16.7",".","27.8",".",".",".",".",".",".",".",".","."
"","475","002","","16","3.156","31.3","12.5","31.3","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","475","003","","17","3.118","35.3","11.8","29.4","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","","51","2.833","31.4","11.8","21.6","9.8","13.7",".","11.8",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","200","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","22","2.909","45.5",".","13.6","18.2","4.5","13.6","4.5",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","","32","3.177","34.4","21.9","15.6","12.5","6.3","3.1","3.1","3.1",".",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","17","3.353","52.9","23.5","5.9",".","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","521","001","","18","3.194","33.3","5.6","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","31","3.097","29.0","19.4","22.6","12.9","9.7","6.5",".",".",".",".",".",".",".",".",".","."
"","521","003","","27","3.365","37.0","18.5","22.2","14.8","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Analysis I","","Course Total","","76","3.213","32.9","15.8","23.7","18.4","5.3","2.6",".",".",".",".",".",".","1.3",".",".","."
"Analysis II","522","001","","21","3.405","57.1","9.5","14.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","","26","3.077","30.8","15.4","26.9","7.7","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"Probability Theory","531","001","","23","3.136","47.8","17.4","13.0",".",".","8.7","8.7","4.3",".",".",".",".",".",".",".","."
"Math Methods in Data Science","535","001","","51","3.200","37.3","9.8","25.5","13.7","7.8","3.9",".",".",".",".",".",".","2.0",".",".","."
"Linear Algebra II","540","001","","20","3.200","30.0","20.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","541","001","","23","3.217","43.5","13.0","17.4","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","541","002","","34","3.250","44.1","11.8","23.5","2.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","541","003","","23","3.250","52.2","4.3","21.7",".","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","80","3.241","46.3","10.0","21.3","5.0","10.0","3.8","2.5","1.3",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","32","3.266","46.9","9.4","25.0",".","15.6",".","3.1",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","30","3.333","43.3","23.3","10.0","10.0","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"Elem Geom & Alg Topology","552","001","","13","3.682","69.2","7.7",".",".",".","7.7",".",".",".",".",".",".","7.7","7.7",".","."
"Differential Geometry","561","001","","13","3.458","46.2","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"Modern Number Theory","567","001","","15","3.333","40.0","20.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","13","3.500","46.2","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","632","001","","18","3.472","44.4","16.7","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","632","002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632","003","","18","2.944","33.3","11.1","27.8",".","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","44","3.295","40.9","18.2","27.3",".","9.1","2.3","2.3",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","243","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 292 of 476",""
