"PUBLIC AFFAIRS & PUBLIC POLI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"","200
001","95","3.437","35.8","36.8","15.8","6.3","4.2",".","1.1",".",".",".",".",".",".",".",".","."
"","200
002","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Public Policy Issues","Course Total","127","3.571","51.2","27.6","12.6","4.7","3.1",".","0.8",".",".",".",".",".",".",".",".","."
"Intro to Health Policy in U.S.","201
001","51","3.870","84.3","7.8","2.0","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"","240
001","28","3.536","53.6","32.1","3.6","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","240
002","28","3.696","42.9","53.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
003","28","3.339","17.9","53.6","17.9",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Policy Making","Course Total","84","3.524","38.1","46.4","8.3","1.2","4.8",".","1.2",".",".",".",".",".",".",".",".","."
"Topics in Public Policy","274
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","281
001","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","281
002","28","3.768","64.3","25.0","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","Course Total","55","3.864","78.2","16.4","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Public Management","285
001","14","3.571","57.1","7.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","327
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
002","29","3.982","93.1","3.4",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Tools for Public Policy","Course Total","56","3.918","82.1","16.1",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Inequality, Race & Publ Policy","520
001","29","3.500","41.4","37.9","13.8",".","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","3.958","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Affairs Seminar Series","802
001","7","",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".",".",".","."
"Energy Analysis & Policy Capst","810
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Analys","819
001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Administrative Internship","827
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol Econ-Corruptn&Good Governc","857
001","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Workshop-Int'l Public Affairs","860
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","34","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
003","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","48","3.760","56.3","39.6","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
001","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
002","14","3.607","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
