"Introduction to Capstone","880
002","30","4.000","100.0",".",".",".","",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"Capstone Project II","882
001","7","4.000","100.0",".",".",".","",".",".",".",".",".","",".",".","",".","","",".",".",".","."
"Inter-Prof Devel Leadership","890
001","2","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"695
OCC THER","Dept. Total","310","3.856","73.2","11.6","2.9","0.6","",".","0.3","0.3","0.3","",".","10.3","",".","",".","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","12","3.333","66.7","16.7",".",".","",".","8.3","8.3",".","",".",".","",".","",".","",".",".",".","."
"Junior","","18","3.917","94.4",".",".","5.6","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","24","3.841","70.8","12.5","8.3",".","",".",".",".","4.2","",".",".","",".","",".","",".",".","4.2","."
"Undergraduates","","59","3.763","78.0","10.2","3.4","1.7","",".","1.7","1.7","1.7","",".",".","",".","",".","",".",".","1.7","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","249","3.869","72.3","12.0","2.8",".","",".",".",".",".","",".","12.9","",".","",".","",".",".",".","."
"","Dept. Total","310","3.856","73.2","11.6","2.9","0.6","",".","0.3","0.3","0.3","",".","10.3","",".","",".","",".",".","0.3","."
